Vgs,Ids,finger,width
0.3,2.0746416039990442e-09,8.0,100.0
0.325,5.691169425812874e-08,8.0,100.0
0.35,1.5612049364359156e-06,8.0,100.0
0.375,4.282698206201318e-05,8.0,100.0
0.4,0.0008183468179688728,8.0,100.0
0.425,0.00394888124191023,8.0,100.0
0.45,0.010716412483340232,8.0,100.0
0.475,0.021937765775763996,8.0,100.0
0.5,0.037833016642140935,8.0,100.0
0.525,0.05799683823801902,8.0,100.0
0.55,0.08145549936874687,8.0,100.0
0.575,0.10680077131171706,8.0,100.0
0.6,0.13254052753671738,8.0,100.0
0.625,0.1582166985691216,8.0,100.0
0.65,0.18382798060813682,8.0,100.0
0.675,0.20937461932518736,8.0,100.0
0.7,0.23485685915310273,8.0,100.0
0.725,0.2602749432939136,8.0,100.0
0.75,0.28562911372658883,8.0,100.0
0.775,0.31049966856761424,8.0,100.0
0.8,0.33407770441543805,8.0,100.0
0.825,0.35629371407789256,8.0,100.0
0.85,0.3771480072273004,8.0,100.0
0.875,0.39664619925575517,8.0,100.0
0.9,0.41479485933547455,8.0,100.0
0.925,0.4316005704312452,8.0,100.0
0.95,0.44706962762147073,8.0,100.0
0.975,0.46120791896348884,8.0,100.0
1.0,0.4740208723798082,8.0,100.0
1.025,0.48551343031058036,8.0,100.0
1.05,0.49569003730160976,8.0,100.0
1.075,0.504554634044148,8.0,100.0
1.1,0.5121106547603351,8.0,100.0
1.125,0.5183610263348873,8.0,100.0
1.15,0.5233081683198761,8.0,100.0
1.175,0.5269539933122468,8.0,100.0
1.2,0.5292999074053275,8.0,100.0
0.0,1.713693482040392e-26,8.0,150.0
0.025,4.7010143619919585e-25,8.0,150.0
0.05,1.2895851132807059e-23,8.0,150.0
0.075,3.537597710487606e-22,8.0,150.0
0.1,9.704359512502442e-21,8.0,150.0
0.125,2.6621057919815497e-19,8.0,150.0
0.15,7.302704767451653e-18,8.0,150.0
0.175,2.0032824045232734e-16,8.0,150.0
0.2,5.4954164519415424e-15,8.0,150.0
0.225,1.5075059767949242e-13,8.0,150.0
0.25,4.135399546051198e-12,8.0,150.0
0.275,1.1344253136416049e-10,8.0,150.0
0.3,3.1119624059985773e-09,8.0,150.0
0.325,8.536754138719328e-08,8.0,150.0
0.35,2.341807404653876e-06,8.0,150.0
0.375,6.42404730930198e-05,8.0,150.0
0.4,0.0012275202269533094,8.0,150.0
0.425,0.005923321862865345,8.0,150.0
0.45,0.01607461872501035,8.0,150.0
0.475,0.032906648663645996,8.0,150.0
0.5,0.05674952496321141,8.0,150.0
0.525,0.08699525735702854,8.0,150.0
0.55,0.1221832490531203,8.0,150.0
0.575,0.16020115696757561,8.0,150.0
0.6,0.1988107913050761,8.0,150.0
0.625,0.23732504785368247,8.0,150.0
0.65,0.27574197091220526,8.0,150.0
0.675,0.3140619289877811,8.0,150.0
0.7,0.35228528872965414,8.0,150.0
0.725,0.39041241494087037,8.0,150.0
0.75,0.42844367058988336,8.0,150.0
0.775,0.4657495028514215,8.0,150.0
0.8,0.5011165566231571,8.0,150.0
0.825,0.5344405711168388,8.0,150.0
0.85,0.5657220108409506,8.0,150.0
0.875,0.5949692988836327,8.0,150.0
0.9,0.6221922890032118,8.0,150.0
